TF1,TF2
ADNP,BCOR
ADNP,GTF2I
ADNP,HDAC2
ADNP,KDM1A
ADNP,RBM25
ADNP,RCOR1
ADNP,SMARCA5
ADNP,ZMYM3
AGO1,FIP1L1
AGO1,POLR2G
AGO1,RBFOX2
AGO1,RBM22
AGO1,SUPT5H
ARID1B,ATF3
ARID1B,CBFA2T3
ARID1B,DPF2
ARID1B,JUND
ARID1B,SMARCA4
ARID1B,SMARCE1
ARID1B,TCF12
ARID1B,TCF3
ARID1B,TRIM24
ARID4B,FOXA3
ARID4B,FOXP1
ARID4B,TEAD1
ARID4B,TEAD4
ARID4B,USF1
ARID4B,ZNF143
ARID4B,MTF1
ARID4B,NFIX
ARID4B,TCF15
ARID4B,ZNF277
ARID4B,ZNF707
ATF1,E2F1
ATF2,ATF3
ATF2,ATF7
ATF3,ATF4
ATF3,ATF7
ATF3,CEBPB
ATF3,CEBPG
ATF3,DPF2
ATF3,JUND
ATF3,TRIM24
ATF4,ATF7
ATF4,CEBPB
ATF4,CEBPG
ATF4,ZBTB17
ATF4,ZNF584
ATF7,JUND
BCOR,GTF2I
BCOR,HDAC2
BCOR,KDM1A
BCOR,RBM25
BCOR,RCOR1
BCOR,SMARCA5
BCOR,ZFP36
BCOR,ZMYM3
BRCA1,STAG1
BRCA1,ZC3H4
BRD9,NFXL1
C11orf30,MAFF
C11orf30,MAFG
C11orf30,MAFK
C11orf30,NFE2
C11orf30,ZNF316
CBFA2T2,CBFA2T3
CBFA2T2,RAD51
CBFA2T2,TCF12
CBFA2T2,TCF3
CBFA2T2,USF2
CBFA2T3,TCF12
CBFA2T3,TCF3
CBX1,CBX3
CBX1,CBX5
CBX1,CHD4
CBX1,HDAC2
CBX1,RCOR1
CBX1,SETDB1
CBX1,TRIM24
CBX1,TRIM28
CBX1,ZNF143
CBX1,ZNF280A
CBX3,CBX5
CBX3,SETDB1
CBX3,TRIM24
CBX3,TRIM28
CBX3,ZNF143
CBX3,ZNF280A
CBX5,SETDB1
CBX5,TRIM24
CBX5,TRIM28
CBX5,ZEB2
CBX5,ZNF143
