TF1,TF2
ARID1B,ATF3
ARID1B,ATF7
ARID1B,CBFA2T2
ARID1B,CBFA2T3
ARID1B,CTBP1
ARID1B,CXXC5
ARID1B,DPF2
ARID1B,E4F1
ARID1B,EP300
ARID1B,GATA2
ARID1B,HDAC1
ARID1B,HDAC2
ARID1B,IKZF1
ARID1B,JUND
ARID1B,KDM1A
ARID1B,NCOR1
ARID1B,NR2F1
ARID1B,RCOR1
ARID1B,RNF2
ARID1B,SMARCA4
ARID1B,SMARCE1
ARID1B,SOX6
ARID1B,TAL1
ARID1B,TCF12
ARID1B,TCF3
ARID1B,TEAD4
ARID1B,TRIM24
ARID1B,ZNF281
ARID1B,ZNF592
ATF1,ATF7
ATF1,CREM
ATF1,CTBP1
ATF1,CXXC5
ATF1,DPF2
ATF1,E2F1
ATF1,E4F1
ATF1,EP400
ATF1,GMEB1
ATF1,HDAC1
ATF1,JUND
ATF1,L3MBTL2
ATF1,MAX
ATF1,MAZ
ATF1,MNT
ATF1,MTA3
ATF1,MYC
ATF1,NR2C2
ATF1,NRF1
ATF1,POLR2G
ATF1,RBFOX2
ATF1,RNF2
ATF1,SOX6
ATF1,TFAP4
ATF1,VEZF1
ATF1,ZFX
ATF3,ATF4
ATF3,ATF7
ATF3,JUN
ATF3,JUNB
ATF3,JUND
ATF3,SMARCA4
ATF7,CREM
ATF7,CTBP1
ATF7,CXXC5
ATF7,DPF2
ATF7,E4F1
ATF7,EP400
ATF7,GMEB1
ATF7,HDAC1
ATF7,JUND
ATF7,L3MBTL2
ATF7,MAX
ATF7,MAZ
ATF7,MTA3
ATF7,MYC
ATF7,NR2C2
ATF7,RBFOX2
ATF7,RCOR1
ATF7,RNF2
ATF7,SMARCA4
ATF7,SOX6
ATF7,TFAP4
ATF7,VEZF1
ATF7,ZNF281
BCOR,GTF2I
BCOR,HDAC2
BCOR,KDM1A
BCOR,ZMYM3
BHLHE40,MAX
BHLHE40,MNT
C11orf30,MAFF
C11orf30,MAFG
C11orf30,MAFK
C11orf30,NFE2
C11orf30,ZNF316
CBFA2T2,CBFA2T3
CBFA2T2,DPF2
CBFA2T2,EP300
CBFA2T2,GATA2
CBFA2T2,HDAC2
CBFA2T2,MTA2
CBFA2T2,NCOR1
CBFA2T2,NR2F2
CBFA2T2,SMARCA4
CBFA2T2,TAL1
CBFA2T2,TCF12
CBFA2T2,TCF3
CBFA2T2,TEAD4
CBFA2T3,DPF2
CBFA2T3,EP300
CBFA2T3,GATA2
CBFA2T3,HDAC1
CBFA2T3,HDAC2
CBFA2T3,KDM1A
CBFA2T3,NCOR1
CBFA2T3,RCOR1
CBFA2T3,SMARCA4
CBFA2T3,SMARCE1
CBFA2T3,SOX6
CBFA2T3,TAL1
CBFA2T3,TCF12
CBFA2T3,TCF3
CBFA2T3,TEAD4
CC2D1A,NCOA1
CCNT2,HMGN3
CCNT2,POLR2G
CCNT2,RB1
CEBPB,CEBPG
CREB1,E2F1
CREB1,GABPB1
CREB1,TFDP1
CREM,CTBP1
CREM,CXXC5
CREM,E4F1
CREM,EP400
CREM,GMEB1
CREM,HDAC1
CREM,JUND
CREM,L3MBTL2
CREM,MAX
CREM,MAZ
CREM,MTA3
CREM,MYC
CREM,POLR2G
CREM,RBFOX2
CREM,RCOR1
CREM,RNF2
CREM,TFAP4
CREM,VEZF1
CTBP1,CXXC5
CTBP1,DPF2
CTBP1,E4F1
CTBP1,EP400
CTBP1,GMEB1
CTBP1,HDAC1
CTBP1,HDAC2
CTBP1,IKZF1
CTBP1,JUND
CTBP1,L3MBTL2
CTBP1,MAX
CTBP1,MAZ
CTBP1,MTA3
CTBP1,MYC
CTBP1,NR2C2
CTBP1,RBFOX2
CTBP1,RCOR1
CTBP1,RNF2
CTBP1,SMARCA4
CTBP1,SOX6
CTBP1,TEAD4
CTBP1,TFAP4
CTBP1,VEZF1
CTBP1,ZNF281
CTCF,DEAF1
CTCF,RAD21
CTCF,REST
CTCF,SMC3
CTCF,ZNF143
CTCF,CTCFL
CXXC5,DPF2
CXXC5,E2F6
CXXC5,E4F1
CXXC5,EGR1
CXXC5,ELF1
CXXC5,EP400
CXXC5,GMEB1
CXXC5,HDAC1
CXXC5,HDAC2
CXXC5,JUND
CXXC5,L3MBTL2
CXXC5,MAX
CXXC5,MAZ
CXXC5,MTA3
CXXC5,MYC
CXXC5,NR2C2
CXXC5,NRF1
CXXC5,PHF8
CXXC5,POLR2G
CXXC5,RBFOX2
CXXC5,RCOR1
CXXC5,RNF2
CXXC5,SMARCA4
CXXC5,SOX6
CXXC5,TFAP4
CXXC5,VEZF1
CXXC5,ZFX
