,TF1,TF2
2,ARID1B,ATF7
3,ARID1B,CBFA2T2
5,ARID1B,CTBP1
6,ARID1B,CXXC5
8,ARID1B,E4F1
9,ARID1B,EP300
10,ARID1B,GATA2
11,ARID1B,HDAC1
12,ARID1B,HDAC2
13,ARID1B,IKZF1
15,ARID1B,KDM1A
16,ARID1B,NCOR1
17,ARID1B,NR2F1
18,ARID1B,RCOR1
19,ARID1B,RNF2
22,ARID1B,SOX6
23,ARID1B,TAL1
26,ARID1B,TEAD4
28,ARID1B,ZNF281
29,ARID1B,ZNF592
30,ATF1,ATF7
31,ATF1,CREM
32,ATF1,CTBP1
33,ATF1,CXXC5
34,ATF1,DPF2
36,ATF1,E4F1
37,ATF1,EP400
38,ATF1,GMEB1
39,ATF1,HDAC1
40,ATF1,JUND
41,ATF1,L3MBTL2
42,ATF1,MAX
43,ATF1,MAZ
44,ATF1,MNT
45,ATF1,MTA3
46,ATF1,MYC
47,ATF1,NR2C2
48,ATF1,NRF1
49,ATF1,POLR2G
50,ATF1,RBFOX2
51,ATF1,RNF2
52,ATF1,SOX6
53,ATF1,TFAP4
54,ATF1,VEZF1
55,ATF1,ZFX
58,ATF3,JUN
59,ATF3,JUNB
61,ATF3,SMARCA4
62,ATF7,CREM
63,ATF7,CTBP1
64,ATF7,CXXC5
65,ATF7,DPF2
66,ATF7,E4F1
67,ATF7,EP400
68,ATF7,GMEB1
69,ATF7,HDAC1
71,ATF7,L3MBTL2
72,ATF7,MAX
73,ATF7,MAZ
74,ATF7,MTA3
75,ATF7,MYC
76,ATF7,NR2C2
77,ATF7,RBFOX2
78,ATF7,RCOR1
79,ATF7,RNF2
80,ATF7,SMARCA4
81,ATF7,SOX6
82,ATF7,TFAP4
83,ATF7,VEZF1
84,ATF7,ZNF281
89,BHLHE40,MAX
90,BHLHE40,MNT
97,CBFA2T2,DPF2
98,CBFA2T2,EP300
99,CBFA2T2,GATA2
100,CBFA2T2,HDAC2
101,CBFA2T2,MTA2
102,CBFA2T2,NCOR1
