File.accession,File.format,File.type,File.format.type,Output.type,File.assembly,Experiment.accession,Biosample.term.name,Experiment.target,Size,md5sum,peaks_count_raw,peaks_count_run
ENCFF492ZRZ,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BGQ,GM12878,SPI1-human,701921,288fa23cf3b0750de688c0e51dc71dc5,44283,44283
ENCFF864AYJ,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR372GIN,GM12878,CBX5-human,285377,fcec4f86d5253813f2427b8ec99e2a95,15452,15452
ENCFF854NOE,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR117KWH,GM12878,ZNF207-human,200391,32505e6a67af2276e9f74c92acc18610,11253,11253
ENCFF627JQX,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR900XDB,GM12878,ZFP36-human,191611,8165c2b5217ec3b1f139b690912c4877,10431,10431
ENCFF006GSY,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BQZ,GM12878,STAT5A-human,153690,b5cba122ab663edf3b71b061768ec75b,7927,7927
ENCFF880BEK,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR691IQB,GM12878,ZBTB4-human,37615,2e1f61bb2faf1cc626bd648f8fb0d470,1922,1922
ENCFF937QTP,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000DNN,GM12878,NFYA-human,17933,2da4bf1a32c700d20bf803320c9d2986,984,984
ENCFF436SJS,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000DYV,GM12878,MAFK-human,135155,f6021852cedf049968eb0469a65a226a,7368,7368
ENCFF214XPD,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000DKU,GM12878,MYC-human,84936,0b7b6ca0d3c7f9e0a7c77a6ed0762c53,4950,4950
ENCFF955FRU,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000DYP,GM12878,ZNF384-human,269663,6e651f8d5f278787e71c84d1feee2d85,14893,14893
ENCFF700TAS,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BQT,GM12878,TCF3-human,306991,7a7c752dbcd858b11072a51beb444705,18872,18872
ENCFF896SEI,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000DZM,GM12878,STAT1-human,73807,508a5736089bed4cecb974c4085e5ddf,3763,3763
ENCFF633YUQ,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000DZJ,GM12878,BHLHE40-human,502289,83f8660a9ed7d3b129533a5e31b14d28,28651,28651
ENCFF014PHS,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR459FTB,GM12878,UBTF-human,24392,6fea328d2275b56553e29cf02026c995,1216,1216
ENCFF900GTF,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR501DKS,GM12878,TCF7-human,180118,5f5528baf6b3cc6da91d6ff83bed81d5,9675,9675
ENCFF294IGP,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR839XZU,GM12878,CREM-human,601360,a78cba019614d13d799b17b20acf28ec,33036,33036
ENCFF502IPK,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BGS,GM12878,TAF1-human,292189,94f59d1843f85d07290903fc9c460a2a,17473,17473
ENCFF878FBM,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BJE,GM12878,SIX5-human,95110,5b966933f42f20f2691a0f3974466f57,5477,5477
ENCFF012FCL,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000DZL,GM12878,ZNF143-human,719696,3415314067a642f6bf7b8af5e8bf67ee,42470,42470
ENCFF519BGX,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR637QAM,GM12878,TRIM22-human,309634,8e2876b846f859f13f9ef280155f9d0e,18007,18007
ENCFF535WUH,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000DNQ,GM12878,ZZZ3-human,12322,4bf4cba3a17cfe0e2f08f9a1edab14f2,623,623
ENCFF826GQU,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BKB,GM12878,MEF2A-human,375342,fb1433bbc2079461c39f0dbf9ac49192,22588,22588
ENCFF276QRH,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000DYZ,GM12878,TBL1XR1-human,232355,f899991da625b25066263850bea82697,13260,13260
ENCFF824QXX,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BHA,GM12878,BCL11A-human,354771,9905ff1b38514164e11357822c3a4f88,21232,21232
ENCFF475GKK,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BRH,GM12878,MTA3-human,269976,31bc6965af1756dc68d0c085acf9d909,14098,14098
ENCFF996NUD,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR391IWM,GM12878,KDM1A-human,9307,e37a53d8e3ae0e98b36b05c58b4132f8,526,526
ENCFF660PIB,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000DYQ,GM12878,ESRRA-human,82144,a1516c61ad08367f01fa3d4aaebab853,4228,4228
ENCFF262MRD,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BQS,GM12878,REST-human,113770,65617da324c39e7e0845e9f0236d9f8d,6119,6119
ENCFF837YJA,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000DZP,GM12878,SMC3-human,590144,2a28a7ccbb3b9461072b165af550d2bf,34390,34390
ENCFF053UZX,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BUF,GM12878,CREB1-human,463922,5e5c8ea6b01a985f3099781d262682cc,28276,28276
ENCFF581FMI,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR330OEO,GM12878,HDAC2-human,27564,9266ad57124419f5d37a8169f2c9dd82,1496,1496
ENCFF940IMA,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BMY,GM12878,RAD21-human,705418,05c03d927c1cc0646a8de45a8c8aad67,44515,44515
ENCFF156MUM,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000DNM,GM12878,NFYB-human,255552,0bfad0a02dc87b500dbac1d0e4daa305,14678,14678
ENCFF238UKB,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BNG,GM12878,MEF2C-human,207879,c8e12391d8f61ffedf573f36bcaa0da9,12003,12003
